immune	cor	pvalue
B cell_TIMER	0.132922497903185	0.00902135641668358
T cell CD4+_TIMER	0.325714958616513	7.45176945733355e-11
T cell CD8+_TIMER	0.101528560815341	0.0465024925179294
Neutrophil_TIMER	0.120625084112778	0.0179419956018665
Macrophage_TIMER	0.314245824639801	2.85672714481206e-10
Myeloid dendritic cell_TIMER	0.241027269362762	1.84293060174265e-06
T cell CD4+ memory activated_CIBERSORT	-0.143282315473496	0.00485034685940386
T cell follicular helper_CIBERSORT	-0.16278890783182	0.00134983454583226
Macrophage M0_CIBERSORT	0.128257222875547	0.0117750022354224
Macrophage M2_CIBERSORT	0.133021106683449	0.0089699236956302
Myeloid dendritic cell activated_CIBERSORT	-0.10022743322519	0.0493956642499832
Mast cell activated_CIBERSORT	0.143841840050185	0.00468509786246207
Mast cell resting_CIBERSORT	-0.143917179406411	0.00466323945922598
B cell naive_CIBERSORT-ABS	0.107707480164782	0.0346306625486032
T cell CD8+_CIBERSORT-ABS	0.106386206790272	0.0369256245939152
T cell CD4+ memory resting_CIBERSORT-ABS	0.18186926315679	0.000334648832925312
T cell CD4+ memory activated_CIBERSORT-ABS	-0.12863886701588	0.0115246629899835
T cell regulatory (Tregs)_CIBERSORT-ABS	0.228916540954968	5.69375543005787e-06
Monocyte_CIBERSORT-ABS	0.135975377969816	0.00754514569710916
Macrophage M0_CIBERSORT-ABS	0.272076338109577	5.83387831201167e-08
Macrophage M1_CIBERSORT-ABS	0.163421218178694	0.00129183345330162
Macrophage M2_CIBERSORT-ABS	0.268039155972384	9.28254078694955e-08
Mast cell activated_CIBERSORT-ABS	0.149820327001052	0.00321104160302366
B cell_QUANTISEQ	0.125564089481236	0.0136822418687905
Macrophage M2_QUANTISEQ	0.26537244322354	1.25631074408038e-07
T cell CD8+_QUANTISEQ	0.12935873130685	0.0110652462698783
T cell regulatory (Tregs)_QUANTISEQ	0.237483595309559	2.45062846566099e-06
Myeloid dendritic cell_QUANTISEQ	0.105676735732895	0.0382102986046194
uncharacterized cell_QUANTISEQ	-0.121507427158334	0.0171151976293559
T cell_MCPCOUNTER	0.230193753785075	5.34250290314049e-06
T cell CD8+_MCPCOUNTER	0.162453737971873	0.00139901710330599
B cell_MCPCOUNTER	0.196947967835274	0.000103327365334402
Monocyte_MCPCOUNTER	0.321709718390418	1.29807505627837e-10
Macrophage/Monocyte_MCPCOUNTER	0.321709718390418	1.29807505627837e-10
Myeloid dendritic cell_MCPCOUNTER	0.218500605612005	1.59474303609301e-05
Endothelial cell_MCPCOUNTER	0.423375151403001	0
Cancer associated fibroblast_MCPCOUNTER	0.408140644976785	0
Myeloid dendritic cell activated_XCELL	0.188890902933374	0.000193106342904604
T cell CD4+ memory_XCELL	-0.217708483598693	1.63505160772963e-05
T cell CD4+ naive_XCELL	0.20634784672684	4.51014595239899e-05
T cell CD4+ central memory_XCELL	0.14206332922617	0.00522867957109052
T cell CD8+ naive_XCELL	-0.178934849951245	0.000418627422391967
Common lymphoid progenitor_XCELL	-0.270476835340825	7.91212571209384e-08
Myeloid dendritic cell_XCELL	0.139028852889627	0.00628834587555042
Endothelial cell_XCELL	0.314845151867935	2.63196777911616e-10
Granulocyte-monocyte progenitor_XCELL	0.115180589605052	0.0238097857474846
Hematopoietic stem cell_XCELL	0.352563287046919	1.03794042395314e-12
Macrophage_XCELL	0.101972805017874	0.0455477978486013
Macrophage M1_XCELL	0.207940563192624	3.92494984603598e-05
Monocyte_XCELL	0.120201045326371	0.018304205647855
B cell plasma_XCELL	-0.134068340181317	0.00843958761529093
T cell CD4+ Th1_XCELL	-0.113282161772551	0.0262368280863425
T cell CD4+ Th2_XCELL	-0.306992702502192	7.59086212632846e-10
immune score_XCELL	0.105376278514232	0.0388053612149366
stroma score_XCELL	0.325543018727392	5.90962845221445e-11
microenvironment score_XCELL	0.183820065944418	0.000294286118216858
B cell_EPIC	0.178684560258394	0.000435053448301406
Cancer associated fibroblast_EPIC	0.393705630509387	3.74127568697263e-16
Endothelial cell_EPIC	0.388387810376152	2.00105125669392e-15
Macrophage_EPIC	0.260688210752978	2.34945388409472e-07
uncharacterized cell_EPIC	-0.394730124150461	2.29326225781483e-16
