gene	conMean	treatMean	logFC	pValue	fdr
SOX9	18.5973615384615	73.9530655940594	1.99151199641767	3.26219380767304e-23	2.65379466254202e-21
SDK1	1.08603076923077	0.468393069306931	-1.21327334398259	4.0641595065112e-12	1.37758073272786e-11
RNF43	3.6393358974359	22.2219611386139	2.61023902553395	1.11505998442464e-20	2.18578625862517e-19
DMD	2.60230256410256	0.800420297029703	-1.70095905421624	3.59330817130219e-11	1.10100045098092e-10
ANK3	2.43526923076923	0.889426237623762	-1.45313440882275	3.01518092986778e-20	4.80950918911263e-19
PCDH17	0.416789743589744	0.875428712871287	1.07066992714172	8.05485135302307e-08	1.72892389859743e-07
CACNA1H	7.16947179487179	2.20928267326733	-1.69828881300626	6.94678930006362e-09	1.67195653716028e-08
TSHZ3	1.74294871794872	0.731806930693069	-1.25199513814966	6.30937205603645e-10	1.66645265181352e-09
MXRA5	4.6236641025641	10.0658215346535	1.12235642579727	0.0145021124923088	0.0182623351586582
COL12A1	5.02058974358974	19.9042133663366	1.98714511043971	2.06968841724445e-13	8.4184576371418e-13
FCGBP	314.89368974359	49.489500990099	-2.66967044664576	7.05960445614168e-20	1.05375930735252e-18
COL11A1	0.051925641025641	4.68324183168317	6.49491660579138	4.80815172008522e-24	9.77857856072332e-22
PRKDC	8.03197692307692	20.9693410891089	1.38445449958477	1.23995950469599e-17	1.00368861400019e-16
APOB	12.6111205128205	0.129790099009901	-6.60237232420658	1.2131718917801e-05	2.10429708734139e-05
VCAN	2.57269487179487	7.28117450495049	1.50089082622173	1.21054912247589e-07	2.56453570607848e-07
CHD7	1.83688717948718	4.4344202970297	1.2714824964886	1.88896893303064e-16	1.18662256912774e-15
TNXB	7.12814871794872	0.498486386138614	-3.83790142710598	3.67093905141137e-23	2.84410373173633e-21
CELSR1	0.5462	3.15142079207921	2.52850118322417	1.57463896165137e-20	2.78471477239867e-19
MAP1B	2.81841794871795	1.21398440594059	-1.21513567780113	5.02552376320188e-11	1.51698092072903e-10
DOCK2	2.27252307692308	0.96972400990099	-1.22864883477813	4.14406180214373e-14	1.85740731462475e-13
NFASC	1.44661282051282	0.613561633663366	-1.23739866434015	1.23619338525894e-12	4.58151853716696e-12
COL5A1	7.98775128205128	24.2908339108911	1.60455070213882	5.06999654361858e-11	1.5275711808273e-10
ADAMTS2	1.16725384615385	5.97977128712871	2.35697196328861	2.16866005431725e-14	1.01391089321097e-13
SPEG	2.31863076923077	0.352245792079208	-2.71861871870026	1.09671388757068e-13	4.67108244784685e-13
