gene	conMean	treatMean	logFC	pValue	fdr
APC	3.35194615384615	1.8051358974359	-0.892891520836245	6.11777934575893e-12	4.15561353120454e-11
TP53	12.9466794871795	22.5624230769231	0.801339884691049	2.39458340441937e-06	5.85849029104651e-06
KRAS	11.9371692307692	7.62354871794872	-0.646926132394789	1.76396833169172e-09	7.18924654208991e-09
PIK3CA	1.19198205128205	1.09856153846154	-0.117746824121348	0.268972373889385	0.300838578828087
SYNE1	1.0225641025641	0.387902564102564	-1.39842506828577	4.35654813838404e-10	1.97284334396741e-09
FAT4	0.959935897435897	0.534369230769231	-0.845101129667044	0.000113970584890779	0.000223526816141422
SOX9	18.5973615384615	76.743158974359	2.04494019521049	1.43292716660619e-20	1.71030092528496e-18
AMER1	1.10682820512821	2.25128461538462	1.02431714544682	1.70420524515601e-05	3.72251890804666e-05
SDK1	1.08603076923077	0.520771794871795	-1.06034175888622	4.51084298032014e-07	1.2356751836254e-06
RNF43	3.6393358974359	22.4285076923077	2.62358651424019	3.31263367541574e-19	2.12900418139219e-17
MDN1	2.26029743589744	3.66496153846154	0.697285426716733	0.00338599295347988	0.00527306078775851
DMD	2.60230256410256	0.909174358974359	-1.51715980866795	3.51938518209691e-07	9.86726952899989e-07
DST	4.41170256410256	1.92744102564103	-1.1946488097229	6.11777934575893e-12	4.15561353120454e-11
MUC5B	17.1025384615385	12.2717743589744	-0.478866613098113	0.00295647342340028	0.00464310816776491
SACS	0.487028205128205	0.745041025641026	0.613314544559816	0.00503113557250541	0.00762888161674822
ARID1A	7.59906666666667	7.06498717948718	-0.105135292032962	0.359911682573002	0.391289799336035
KMT2B	5.44477948717949	8.20977435897436	0.592468949712537	1.26333940825036e-07	3.7562992013992e-07
SYNE2	5.18258717948718	3.70346923076923	-0.484795128973283	0.000361933694384015	0.00066242190943668
KMT2C	4.10531538461538	3.62844102564103	-0.178143237527181	0.0687735908766353	0.0853160136264719
NBEA	0.968133333333333	0.220741025641026	-2.13285096670784	1.00791765171206e-10	5.39817434618863e-10
TRPS1	0.731076923076923	0.4358	-0.746357016431129	5.22931855978969e-05	0.000107217071330167
KMT2D	4.88051282051282	5.43325128205128	0.154783024532255	0.936647802544734	0.940588027675631
BRAF	0.871997435897436	0.960048717948718	0.138783724893355	0.339336350223186	0.372311911505544
KIAA1109	4.01294615384615	2.4368641025641	-0.719635999971114	1.26333940825036e-07	3.7562992013992e-07
