ID	TCGA-AA-3660-11A-01R-1723-07	TCGA-AA-3522-11A-01R-A32Z-07	TCGA-AA-3511-11A-01R-1839-07	TCGA-A6-2680-11A-01R-A32Z-07	TCGA-AA-3712-11A-01R-1723-07	TCGA-AZ-6603-11A-02R-1839-07	TCGA-A6-2678-11A-01R-A32Z-07	TCGA-AZ-6599-11A-01R-1774-07	TCGA-AA-3655-11A-01R-1723-07	TCGA-A6-5665-11A-01R-1653-07	TCGA-AA-3527-11A-01R-A32Z-07	TCGA-A6-2686-11A-01R-A32Z-07	TCGA-AA-3496-11A-01R-1839-07	TCGA-AA-3514-11A-01R-A32Z-07	TCGA-A6-5659-11A-01R-1653-07	TCGA-AZ-6600-11A-01R-1774-07	TCGA-AA-3663-11A-01R-1723-07	TCGA-A6-2684-11A-01R-A32Z-07	TCGA-AA-3662-11A-01R-1723-07	TCGA-A6-2675-11A-01R-1723-07	TCGA-A6-2679-11A-01R-A32Z-07	TCGA-A6-5667-11A-01R-1723-07	TCGA-AA-3531-11A-01R-A32Z-07	TCGA-A6-2671-11A-01R-A32Z-07	TCGA-AA-3713-11A-01R-1723-07	TCGA-AA-3520-11A-01R-A32Z-07	TCGA-A6-2682-11A-01R-A32Z-07	TCGA-AZ-6601-11A-01R-1774-07	TCGA-AZ-6605-11A-01R-1839-07	TCGA-A6-5662-11A-01R-1653-07	TCGA-AZ-6598-11A-01R-1774-07	TCGA-AA-3525-11A-01R-A32Z-07	TCGA-AA-3489-11A-01R-1839-07	TCGA-AA-3517-11A-01R-A32Z-07	TCGA-AA-3518-11A-01R-1672-07	TCGA-AA-3697-11A-01R-1723-07	TCGA-AA-3534-11A-01R-A32Z-07	TCGA-A6-2685-11A-01R-A32Z-07	TCGA-A6-2683-11A-01R-A32Z-07	TCGA-CM-6169-01A-11R-1653-07	TCGA-AA-3697-01A-01R-1723-07	TCGA-A6-A56B-01A-31R-A28H-07	TCGA-A6-5659-01A-01R-1653-07	TCGA-AA-3930-01A-01R-1022-07	TCGA-DM-A1DA-01A-11R-A155-07	TCGA-CK-6747-01A-11R-1839-07	TCGA-AA-3851-01A-01R-1022-07	TCGA-D5-5538-01A-01R-1653-07	TCGA-AA-3858-01A-01R-0905-07	TCGA-AA-3833-01A-01R-0905-07	TCGA-AA-3812-01A-01R-0905-07	TCGA-AD-6548-01A-11R-1839-07	TCGA-AM-5820-01A-01R-1653-07	TCGA-CM-5344-01A-21R-1723-07	TCGA-AZ-6603-01A-11R-1839-07	TCGA-D5-6926-01A-11R-1928-07	TCGA-AZ-5407-01A-01R-1723-07	TCGA-AA-3870-01A-01R-1022-07	TCGA-A6-5666-01A-01R-1653-07	TCGA-AA-A01F-01A-01R-A002-07	TCGA-AA-A01S-01A-21R-A083-07	TCGA-AA-3713-01A-21R-1723-07	TCGA-CA-5797-01A-01R-1653-07	TCGA-NH-A5IV-01A-42R-A37K-07	TCGA-D5-6531-01A-11R-1723-07	TCGA-G4-6304-01A-11R-1928-07	TCGA-AA-3548-01A-01R-1873-07	TCGA-AY-4071-01A-01R-1113-07	TCGA-D5-6924-01A-11R-1928-07	TCGA-A6-2681-01A-01R-1410-07	TCGA-A6-2679-01A-02R-1410-07	TCGA-CM-5868-01A-01R-1653-07	TCGA-CM-6167-01A-11R-1653-07	TCGA-G4-6626-01A-11R-1774-07	TCGA-AA-3815-01A-01R-1022-07	TCGA-AA-3869-01A-01R-1022-07	TCGA-AA-3495-01A-01R-1410-07	TCGA-3L-AA1B-01A-11R-A37K-07
SYNE1	0.568	0.7169	1.602	0.7484	0.9336	2.4265	1.024	1.0994	0.6316	0.6852	0.7296	0.5778	1.4859	0.4722	0.5337	0.9744	1.3648	0.3489	1.0454	2.5424	0.9439	1.0225	0.5073	0.8265	0.4142	0.5774	0.7258	1.6844	3.3934	1.6785	1.4449	0.808	0.8277	0.7828	0.7198	0.7773	0.8948	0.7264	0.6137	0.9998	0.2306	0.3744	0.2976	0.1899	0.064	0.3995	0.1533	0.3971	0.1759	0.2611	0.1837	0.4624	0.3639	0.4576	0.5088	0.8782	0.1972	0.3178	0.0724	0.0326	0.0345	0.6989	0.2989	1.1588	0.3363	0.046	0.1545	0.2961	1.0786	0.3117	0.0756	0.2786	1.9575	0.086	0.2252	0.1689	0.172	0.7323
SOX9	20.4217	22.6202	18.2271	8.2522	18.1738	21.1886	21.2252	44.7426	17.5012	10.5068	16.9044	14.7466	10.9771	13.9486	26.0892	22.0869	26.183	23.7704	26.0741	10.2372	14.6036	34.5136	6.4864	18.6224	7.0372	19.9121	21.9967	20.8765	2.0735	11.9738	23.9074	14.4523	12.7363	17.4336	21.3953	14.0879	20.1464	24.7502	24.415	69.9131	66.978	101.0424	152.8266	58.3744	62.6584	233.9743	34.894	171.0761	48.3587	39.1153	66.4388	245.7174	36.9206	74.243	92.927	69.0993	63.8515	86.4032	81.6625	86.2231	45.1627	95.9046	51.7159	45.2888	66.4356	86.2682	51.7858	29.0279	55.8436	69.2733	61.467	64.4798	44.3279	124.0979	34.2224	41.8092	29.0582	54.1167
AMER1	0.7904	1.1988	1.1181	0.6399	1.0583	1.5695	1.2266	1.2429	0.9656	0.7675	1.1569	0.9853	1.2245	1.1767	1.029	0.9693	1.2725	1.0291	1.0283	1.748	1.1071	1.1634	0.5734	0.9485	0.8627	1.076	0.981	1.4624	2.0749	1.0537	1.2967	0.9629	1.0383	1.0092	1.0791	0.8959	1.314	0.8283	1.2416	4.3288	2.6269	3.0453	7.3797	1.5614	3.2543	1.0997	0.9673	0.1492	1.2908	0.796	1.2773	3.2143	2.3392	1.9244	5.9888	3.5966	0.7195	1.2336	2.4614	1.8091	2.0059	2.134	3.8698	1.3765	4.3839	1.3985	0.8973	1.5156	7.725	1.149	0.4927	1.5273	1.7462	2.1168	1.6002	1.454	1.1868	0.157
SDK1	0.3532	0.6743	1.1197	0.5442	0.6822	2.6677	1.087	1.5821	0.5836	0.7845	0.8373	0.9704	2.2854	0.4428	0.481	1.5308	1.4644	0.3995	1.1897	2.7952	0.9034	0.8818	0.5695	1.0184	0.3294	0.585	0.707	1.5353	4.0362	1.4412	2.1093	0.5331	0.6466	0.642	0.8403	0.9726	0.9699	0.5577	0.6015	1.4361	0.2547	0.3866	0.2321	0.2074	0.043	0.3484	0.3933	0.3745	0.4147	0.5248	0.7257	1.0997	0.142	0.3028	0.8261	1.8993	0.1168	0.2546	0.0394	0.4608	0.0511	0.4565	0.5389	0.1142	0.4179	0.0255	0.1131	0.4526	1.9905	0.7645	0.9011	0.1853	2.121	0.2385	0.3288	0.3505	0.2058	0.5715
RNF43	4.2518	4.6709	4.4522	3.4876	5.0045	2.5795	4.2104	4.8012	3.4293	2.769	2.9083	3.9888	1.5529	2.4487	4.4608	3.9558	3.991	3.9952	4.7219	2.5759	3.7319	5.6002	2.8268	4.1627	2.3222	4.1217	4.6374	4.2325	0.4721	3.5491	3.9028	2.8624	1.3996	3.7657	3.8601	2.8509	4.0631	5.1691	4.1481	28.6571	27.7612	40.1988	34.2171	15.821	20.5781	22.4153	9.0323	13.9554	12.7203	3.8606	24.9063	18.844	28.5782	34.1102	33.7281	24.7018	14.123	12.3506	46.8935	20.323	27.7753	5.4971	16.0378	10.558	30.227	24.1069	18.4749	20.0278	42.7156	19.1459	17.5981	18.3314	12.2688	28.3018	12.4609	10.7763	17.3597	55.2726
DMD	0.5644	0.9023	1.2	2.3639	0.9525	7.1142	1.7336	1.5693	2.0484	1.0317	1.933	1.0961	7.999	0.805	1.4338	1.2602	4.0454	0.5294	1.6242	10.5767	0.9796	1.3813	0.8882	2.1499	1.1259	0.8425	0.6879	4.0022	17.4991	5.9485	3.8158	0.5299	4.2173	0.7483	1.5627	1.5197	0.9094	1.0779	0.8206	0.9993	0.6519	0.4817	0.7709	0.2835	0.0271	0.2497	0.412	0.5293	0.9564	0.2414	0.2119	0.8555	1.4519	1.0858	0.7859	0.9852	0.1082	0.1676	4.5505	0.3964	0.2791	0.2676	1.6462	0.1602	0.223	0.7919	0.4605	0.2213	2.6361	0.2934	0.0811	0.8911	7.1902	1.4442	0.3341	0.4942	0.4852	1.3563
DST	2.5764	4.4088	4.0879	4.7949	4.545	7.8521	3.9273	5.498	1.9947	5.9493	4.687	3.331	4.9239	4.0104	4.3034	3.7446	3.8156	3.1459	2.7289	10.5001	3.8332	4.4761	6.1452	4.4744	1.4469	4.1905	3.9506	6.5958	8.1904	5.2402	4.5707	3.8334	3.1162	3.0922	3.294	3.3977	3.2318	4.814	3.3379	3.4066	2.2314	2.6348	3.6839	1.1884	0.7958	1.6888	1.0505	1.2474	0.7554	1.7096	1.046	2.0735	1.8041	3.0334	3.1431	4.2017	1.6159	1.1772	1.3798	2.4219	0.5063	3.8881	1.6913	1.3122	2.035	0.3893	0.8445	2.0247	2.7126	1.2619	0.5254	1.5554	5.9531	1.5191	0.5153	1.4013	1.5784	3.1671
NBEA	0.2315	0.3975	0.5829	0.925	0.5411	2.275	0.9248	0.8832	0.7923	0.4497	0.6764	0.4813	2.3355	0.2387	0.5691	0.581	1.6116	0.2763	0.7813	3.5949	0.3999	0.6349	0.355	0.8841	0.3035	0.3088	0.2965	1.6364	6.1428	2.1438	1.0802	0.2898	1.0903	0.4278	0.7112	0.6168	0.4098	0.4705	0.406	0.3739	0.196	0.2936	0.1587	0.0518	0.0161	0.2609	0.0978	0.084	0.0941	0.191	0.2481	0.1026	0.2522	0.1971	0.188	0.2309	0.1247	0.0804	0.1404	0	0.0037	0.0792	0.0674	0.6066	0.5603	0.3779	0.0232	0.0944	0.1787	0.2167	0	0.0935	2.0679	0.1553	0.041	0.0556	0.0912	0.514
CUBN	0.0657	0.1013	0.0995	73.9911	0.0751	0.0993	0.1003	0.1765	0.0563	0.0681	0.0556	0.111	0.1487	0.0282	0.0649	0.1152	0.0859	0.0569	0.0854	0.1269	0.1315	0.1016	0.033	0.0407	0.0373	0.0452	0.0718	0.1462	0.1193	0.1218	0.1528	0.0662	0.0762	0.0633	0.0726	0.0501	0.0979	0.0383	0.1466	0.1299	0.0221	0.051	0.0349	0.0363	0.0181	0.0408	0.033	0.0775	0.0405	0.0274	0.0544	0.0447	0.0539	0.0664	0.0395	0.0963	0.0375	0.0398	0.0326	0.0041	0.0135	0.0481	0.0436	0.0898	0.0287	0.0708	0.0711	0.0532	0.0928	0.0341	0	0.0483	0.2331	0.0192	0.2382	0.0334	0.0648	0.0886
ANK3	1.5664	4.1277	1.9757	2.5898	2.53	1.1798	3.5325	2.12	1.0838	4.7498	3.1619	3.1076	2.4411	1.8843	1.9247	2.3539	2.0173	4.0095	1.3693	1.6968	2.5768	2.6109	3.1871	2.2358	1.3779	3.2379	3.4426	1.4043	1.7945	2.7669	2.6352	1.4236	1.0638	2.9573	3.7898	0.9037	2.4723	2.5239	3.1493	1.0032	0.6111	0.7263	1.149	0.4189	0.7356	1.2999	0.7051	0.5687	0.4478	0.8539	0.224	0.8342	0.8172	0.5265	0.8705	0.6515	0.5944	0.2535	0.7392	0.854	0.6894	1.2795	0.9529	1.2285	0.6354	0.9111	0.3144	0.8451	1.3871	0.5489	0.1072	0.9429	0.7661	0.7008	1.2538	0.49	0.7792	1.1726
