gene	conMean	treatMean	logFC	pValue	fdr
SYNE1	1.0225641025641	0.387902564102564	-1.39842506828577	4.35654813838404e-10	1.97284334396741e-09
SOX9	18.5973615384615	76.743158974359	2.04494019521049	1.43292716660619e-20	1.71030092528496e-18
AMER1	1.10682820512821	2.25128461538462	1.02431714544682	1.70420524515601e-05	3.72251890804666e-05
SDK1	1.08603076923077	0.520771794871795	-1.06034175888622	4.51084298032014e-07	1.2356751836254e-06
RNF43	3.6393358974359	22.4285076923077	2.62358651424019	3.31263367541574e-19	2.12900418139219e-17
DMD	2.60230256410256	0.909174358974359	-1.51715980866795	3.51938518209691e-07	9.86726952899989e-07
DST	4.41170256410256	1.92744102564103	-1.1946488097229	6.11777934575893e-12	4.15561353120454e-11
NBEA	0.968133333333333	0.220741025641026	-2.13285096670784	1.00791765171206e-10	5.39817434618863e-10
CUBN	1.98267435897436	0.0577435897435897	-5.10164313543976	3.75114818371892e-05	7.87458368717879e-05
ANK3	2.43526923076923	0.766394871794872	-1.66792146536329	3.22004453541965e-18	1.34517360467156e-16
ANK2	1.67689230769231	0.226851282051282	-2.88597132181359	5.96362241708163e-18	2.26482114975986e-16
PCDH17	0.416789743589744	0.937	1.1687292718378	0.000185823370116593	0.000353254666057824
CACNA1H	7.16947179487179	2.97409230769231	-1.26941740803939	0.00052074113817551	0.000921778010478048
GLI3	1.01127692307692	0.38034358974359	-1.41080291643354	2.49460423109318e-06	6.09427437157413e-06
TSHZ3	1.74294871794872	0.841051282051282	-1.05126444747225	4.32730133009987e-05	8.97136541265122e-05
MXRA5	4.6236641025641	9.71185641025641	1.07071049799256	0.0239585697615879	0.0326281744674926
COL12A1	5.02058974358974	18.9236282051282	1.91425997601208	2.62003161033186e-09	1.02771662461609e-08
LAMA1	1.13305641025641	0.193825641025641	-2.54738834748306	2.91798363566596e-15	4.68841409153637e-14
FCGBP	314.89368974359	55.4080384615385	-2.50669764792205	1.28946422040268e-13	1.3218985964987e-12
COL11A1	0.051925641025641	4.54724871794872	6.45240298483108	3.07749606606007e-14	3.59615099747299e-13
PRKDC	8.03197692307692	21.4995205128205	1.4204774555065	8.50237547583077e-10	3.65230576352525e-09
APOB	12.6111205128205	0.159817948717949	-6.30212321376889	0.000407106934285912	0.00073977852229669
AKAP9	7.03472307692308	3.08581282051282	-1.18884307919405	2.1644014324534e-12	1.60742879716873e-11
VCAN	2.57269487179487	6.82935384615385	1.40846872564758	1.3908353703616e-05	3.07418770353735e-05
CHD7	1.83688717948718	4.24883076923077	1.20980286260341	6.10081719993145e-10	2.70410226553991e-09
TNXB	7.12814871794872	0.505476923076923	-3.81781030251645	8.62107770185837e-19	4.96752442751908e-17
SCN9A	1.14158717948718	0.120364102564103	-3.24556394649457	1.76675972920246e-13	1.73904770164225e-12
CELSR1	0.5462	2.79324358974359	2.35444017265884	2.40642418262114e-12	1.77142502606164e-11
MAP1B	2.81841794871795	1.13973846153846	-1.306182763836	4.51084298032014e-07	1.2356751836254e-06
DOCK2	2.27252307692308	0.979766666666667	-1.21378483009151	2.06811722985815e-09	8.24778971621234e-09
NFASC	1.44661282051282	0.635248717948718	-1.18728537885812	6.1410128186322e-07	1.64978013182225e-06
COL5A1	7.98775128205128	25.1732641025641	1.65603097953098	2.12970072570394e-08	7.21851909259895e-08
LAMA2	2.06715384615385	1.0287641025641	-1.00673355648257	1.44003755671314e-07	4.25141829905946e-07
ADAMTS2	1.16725384615385	6.20931794871795	2.41131646459231	2.83994356479603e-10	1.39165562955254e-09
SPEG	2.31863076923077	0.441287179487179	-2.39348335696427	2.82842274863453e-08	9.35899883756099e-08
FLNC	46.0155025641026	5.98708461538462	-2.94219442009344	6.69516639310446e-06	1.55168142064876e-05
COL7A1	0.405812820512821	3.40634871794872	3.06933978670372	2.24756952568032e-14	2.70193430029627e-13
FNDC1	3.21838717948718	7.04605641025641	1.13047812891745	0.0048708442904138	0.00741273297748767
COL27A1	0.483112820512821	1.69578974358974	1.81152526148011	5.76175312131868e-05	0.000116701690493618
ASPM	1.05518974358974	2.46332820512821	1.22310641340147	1.08720565102233e-09	4.58911141060493e-09
AKAP12	8.88307948717949	3.65049487179487	-1.28296784753173	7.42088903867105e-08	2.30061328081991e-07
BNC2	0.942341025641026	0.371576923076923	-1.34258834867876	2.41118481273126e-07	6.88733302918621e-07
TNS1	32.1783384615385	7.00478205128205	-2.19967776592357	1.34893792861886e-07	3.99658737362077e-07
SVIL	18.4836179487179	6.09045897435897	-1.60162431660043	3.03459126967475e-08	9.96228293050394e-08
SCN7A	2.84956666666667	0.219341025641026	-3.69949496078651	8.81511696198529e-13	7.29210913043437e-12
FASN	15.2323769230769	48.2486461538462	1.66334737775944	7.75254189388658e-15	1.07061962848632e-13
GALNT17	0.988333333333333	0.372484615384615	-1.4078168593135	3.30603895107134e-07	9.34753145049105e-07
SFMBT2	0.9666	0.437779487179487	-1.14271463832295	3.09563626022369e-10	1.48217999737358e-09
MIDEAS	6.18411025641026	3.07025897435897	-1.01020569015888	1.45346792990028e-13	1.46309934389359e-12
ADAMTSL3	1.90048205128205	0.345812820512821	-2.45830213909557	1.14323883091282e-13	1.19397005403458e-12
HELZ2	4.23304102564103	10.2188666666667	1.27146882555397	2.83994356479603e-10	1.39165562955254e-09
ITPR1	0.936779487179487	0.433179487179487	-1.11274455819252	6.63162979791293e-10	2.90851795073819e-09
KIF26B	0.110074358974359	0.981028205128205	3.15581617269256	6.76105101475498e-15	9.41476353804631e-14
BRCA2	0.350620512820513	1.33787179487179	1.93195756491257	7.01797642092484e-14	7.66473111069635e-13
MAP1A	3.59028205128205	1.42990769230769	-1.32817516928012	0.00316468143060652	0.00494685001921749
UGGT2	1.40789487179487	3.14562307692308	1.15980619948464	1.53919427963162e-10	7.91382658850596e-10
FLNA	263.448864102564	85.0938923076923	-1.63039546936114	0.00338599295347988	0.00527306078775851
AHNAK	70.4062282051282	24.6440358974359	-1.51446451449811	5.52528172236051e-12	3.78391219592804e-11
